Data Set,Avg Accuracy,Std. Dev,Optimized Acc,Std. Dev,Classifier
breast-cancer-wisconsin,0.96350365,0,0.95620438,0,"['ANN', 'KNN', 'DISCR', 'NB', 'ANN', 'DISCR', 'NB', 'ANN', 'KNN', 'DISCR', 'DT', 'ANN', 'KNN', 'NB']"
ecoli,0.926470588,0,0.897058824,0,"['ANN', 'KNN', 'DISCR', 'NB', 'ANN', 'KNN', 'DISCR', 'NB']"
haberman,0.737704918,0,0.754098361,0,"['ANN', 'KNN', 'DT', 'ANN', 'NB', 'DT', 'ANN', 'KNN']"
ionosphere,0.887323944,0,0.887323944,0,"['ANN', 'KNN', 'DISCR', 'NB', 'DT', 'KNN', 'DISCR', 'DT', 'ANN', 'KNN', 'DISCR', 'NB']"
iris,1,0,0.966666667,0,['DT']
liver,0.743589744,0,0.743589744,0,"['DT', 'ANN', 'ANN', 'NB', 'DT', 'ANN']"
pima_diabetec,0.727272727,0,0.727272727,0,"['DT', 'DISCR', 'NB', 'DT', 'ANN', 'KNN', 'DISCR', 'NB']"
sonar,0.880952381,0,0.857142857,0,"['ANN', 'DISCR', 'DT', 'KNN', 'DISCR', 'NB', 'KNN', 'NB', 'ANN', 'DISCR']"
wine,0.972222222,0,0.972222222,0,"['DT', 'ANN', 'NB', 'DT', 'ANN', 'DISCR', 'ANN']"
breast-cancer-wisconsin,0.95620438,0,0.941605839,0,"['DT', 'DISCR', 'NB', 'ANN', 'KNN', 'NB', 'DT', 'ANN', 'NB', 'DT', 'ANN', 'KNN', 'DISCR']"
ecoli,0.970588235,0,0.838235294,0,"['DT', 'ANN', 'KNN', 'DT', 'DT', 'ANN', 'KNN', 'DISCR', 'DT', 'ANN', 'KNN', 'DISCR', 'NB']"
haberman,0.737704918,0,0.754098361,0,"['KNN', 'DISCR', 'ANN', 'KNN', 'DT', 'DISCR', 'NB']"
ionosphere,0.915492958,0,0.915492958,0,"['DT', 'KNN', 'DISCR', 'NB', 'DT', 'KNN']"
iris,1,0,1,0,"['DT', 'ANN', 'KNN', 'DISCR']"
liver,0.743589744,0,0.743589744,0,"['DISCR', 'NB', 'DT', 'KNN']"
pima_diabetec,0.707792208,0,0.714285714,0,"['KNN', 'KNN', 'DT', 'ANN', 'DISCR', 'ANN', 'KNN', 'DISCR', 'KNN', 'DT', 'ANN']"
sonar,0.857142857,0,0.857142857,0,"['DISCR', 'NB', 'ANN']"
wine,1,0,1,0,"['DT', 'DT', 'DISCR', 'NB', 'ANN', 'NB']"
breast-cancer-wisconsin,0.96350365,0,0.95620438,0,"['ANN', 'KNN', 'DISCR', 'DT', 'ANN', 'DISCR', 'DT', 'KNN', 'DISCR', 'NB', 'KNN', 'NB']"
ecoli,0.941176471,0,0.926470588,0,"['DT', 'DT', 'NB', 'DT', 'ANN', 'NB']"
haberman,0.754098361,0,0.655737705,0,"['DISCR', 'DISCR', 'ANN', 'KNN', 'NB', 'KNN', 'DISCR', 'NB']"
ionosphere,0.901408451,0,0.887323944,0,"['ANN', 'KNN', 'DT', 'ANN', 'KNN', 'DISCR', 'NB']"
iris,1,0,0.833333333,0,"['DT', 'KNN', 'DT', 'ANN', 'KNN']"
liver,0.743589744,0,0.717948718,0,"['DT', 'NB', 'NB', 'ANN', 'DISCR', 'DT', 'ANN']"
pima_diabetec,0.720779221,0,0.636363636,0,"['DT', 'ANN', 'KNN', 'NB']"
sonar,0.761904762,0,0.833333333,0,"['DT', 'ANN', 'DT', 'ANN', 'DISCR', 'NB', 'KNN', 'DISCR']"
wine,1,0,0.861111111,0,"['ANN', 'DT', 'ANN', 'KNN', 'ANN', 'KNN', 'DISCR']"
breast-cancer-wisconsin,0.96350365,0,0.95620438,0,"['DISCR', 'ANN', 'DISCR', 'KNN', 'NB']"
ecoli,0.941176471,0,0.926470588,0,"['KNN', 'DISCR', 'NB', 'DISCR', 'DT', 'DISCR', 'NB', 'KNN', 'NB']"
haberman,0.754098361,0,0.737704918,0,"['DT', 'ANN', 'DISCR', 'ANN', 'KNN', 'DISCR', 'NB', 'ANN', 'KNN', 'NB', 'DT', 'DISCR']"
ionosphere,0.873239437,0,0.873239437,0,"['DISCR', 'NB', 'DT', 'ANN', 'KNN', 'DT', 'ANN', 'KNN']"
iris,1,0,0.633333333,0,"['ANN', 'DT', 'ANN', 'NB']"
liver,0.743589744,0,0.743589744,0,"['DT', 'NB', 'DT', 'ANN', 'NB', 'ANN', 'KNN', 'DISCR']"
pima_diabetec,0.707792208,0,0.714285714,0,"['ANN', 'DISCR', 'NB', 'DT', 'KNN', 'NB', 'ANN', 'KNN', 'NB', 'ANN', 'KNN', 'NB']"
sonar,0.880952381,0,0.761904762,0,"['DT', 'DISCR', 'NB', 'DT', 'DISCR', 'DT', 'ANN', 'NB', 'DISCR']"
wine,0.916666667,0,1,0,"['DT', 'ANN', 'KNN', 'DISCR', 'NB', 'DT', 'DISCR', 'DISCR', 'DT', 'ANN']"
breast-cancer-wisconsin,0.97810219,0,0.96350365,0,"['ANN', 'KNN', 'DISCR', 'KNN', 'DISCR', 'NB', 'KNN', 'NB']"
ecoli,0.955882353,0,0.705882353,0,"['ANN', 'DISCR', 'DISCR', 'DT', 'ANN', 'KNN', 'DT', 'NB']"
haberman,0.754098361,0,0.704918033,0,"['DT', 'KNN', 'DT', 'DISCR', 'DT', 'ANN', 'KNN', 'DISCR']"
ionosphere,0.873239437,0,0.901408451,0,"['DT', 'ANN', 'KNN', 'KNN', 'NB', 'KNN', 'DISCR', 'KNN', 'DISCR', 'DT']"
iris,1,0,1,0,"['DT', 'KNN', 'NB']"
liver,0.743589744,0,0.726495726,0,"['DT', 'ANN', 'NB', 'DISCR']"
pima_diabetec,0.720779221,0,0.714285714,0,"['DT', 'ANN', 'KNN', 'DISCR', 'NB', 'ANN', 'NB', 'KNN', 'DISCR', 'NB']"
sonar,0.833333333,0,0.738095238,0,"['DT', 'DISCR', 'KNN', 'DISCR', 'DT', 'ANN', 'KNN', 'DISCR', 'DT', 'ANN', 'KNN', 'NB']"
wine,0.972222222,0,1,0,"['DISCR', 'NB', 'DT', 'ANN', 'DISCR', 'NB', 'DT', 'KNN', 'NB']"
breast-cancer-wisconsin,0.948905109,0,0.948905109,0,"['DT', 'ANN', 'DISCR', 'NB', 'DT', 'KNN', 'DT', 'ANN', 'DISCR', 'NB', 'DT', 'KNN', 'DISCR', 'NB']"
ecoli,0.985294118,0,0.911764706,0,"['DT', 'ANN', 'KNN', 'DT', 'ANN', 'KNN', 'DISCR', 'NB', 'DT', 'DT', 'ANN', 'KNN', 'NB']"
haberman,0.672131148,0,0.655737705,0,"['DT', 'KNN', 'NB', 'DT', 'KNN', 'NB', 'DT', 'KNN', 'DISCR']"
ionosphere,0.887323944,0,0.915492958,0,"['DT', 'NB', 'KNN', 'NB', 'KNN', 'DISCR']"
iris,1,0,1,0,"['DT', 'ANN', 'KNN', 'NB', 'DT', 'ANN', 'ANN', 'KNN', 'DISCR']"
liver,0.735042735,0,0.726495726,0,"['DT', 'KNN', 'KNN', 'DISCR', 'NB', 'DT', 'KNN', 'KNN', 'KNN']"
pima_diabetec,0.74025974,0,0.694805195,0,"['DT', 'ANN', 'KNN', 'DISCR', 'KNN']"
sonar,0.833333333,0,0.714285714,0,"['DT', 'NB']"
wine,1,0,0.972222222,0,"['DT', 'NB', 'DT', 'DISCR', 'DT', 'KNN']"
breast-cancer-wisconsin,0.948905109,0,0.671532847,0,"['DT', 'ANN', 'KNN', 'KNN', 'ANN', 'DT', 'KNN', 'DISCR']"
ecoli,0.970588235,0,0.955882353,0,"['DT', 'KNN', 'NB', 'KNN', 'NB', 'ANN', 'DISCR', 'NB', 'ANN', 'KNN', 'ANN', 'NB']"
haberman,0.68852459,0,0.737704918,0,"['ANN', 'KNN', 'ANN', 'ANN', 'NB']"
ionosphere,0.887323944,0,0.873239437,0,"['DT', 'ANN', 'KNN', 'DT', 'DISCR', 'DT', 'ANN', 'DISCR', 'NB']"
iris,1,0,1,0,"['DT', 'ANN', 'KNN', 'DISCR', 'NB', 'KNN', 'DISCR', 'DT', 'DISCR', 'NB']"
liver,0.743589744,0,0.743589744,0,"['ANN', 'NB', 'DISCR', 'DT', 'NB', 'ANN']"
pima_diabetec,0.727272727,0,0.727272727,0,"['DT', 'DISCR', 'NB', 'DISCR', 'NB', 'DT', 'ANN', 'KNN']"
sonar,0.833333333,0,0.571428571,0,"['DISCR', 'NB']"
wine,0.916666667,0,0.972222222,0,"['DT', 'KNN', 'NB', 'KNN', 'DISCR', 'DT', 'DT', 'ANN', 'KNN', 'DISCR', 'ANN', 'KNN']"
breast-cancer-wisconsin,0.96350365,0,0.97080292,0,"['KNN', 'NB', 'DISCR', 'ANN', 'NB']"
ecoli,0.941176471,0,0.485294118,0,"['KNN', 'NB', 'DT', 'ANN', 'KNN', 'NB']"
haberman,0.508196721,0,0.37704918,0,"['DISCR', 'ANN', 'KNN']"
ionosphere,0.394366197,0,0.901408451,0,"['DT', 'ANN', 'KNN', 'DT', 'KNN']"
iris,1,0,0.966666667,0,"['DISCR', 'ANN', 'DISCR', 'DT', 'NB']"
liver,0.743589744,0,0.735042735,0,"['KNN', 'NB', 'DT', 'ANN', 'DISCR', 'NB']"
pima_diabetec,0.714285714,0,0.720779221,0,"['DT', 'NB', 'DT', 'DT', 'KNN', 'NB']"
sonar,0.904761905,0,0.619047619,0,"['DT', 'DISCR', 'DT', 'KNN', 'DISCR']"
wine,0.944444444,0,0.916666667,0,"['ANN', 'DISCR', 'DT', 'ANN', 'KNN', 'DISCR', 'NB', 'DT', 'ANN', 'DISCR', 'NB', 'KNN', 'DISCR', 'NB']"
breast-cancer-wisconsin,0.96350365,0,0.934306569,0,"['DISCR', 'DT', 'ANN', 'KNN', 'DISCR', 'NB', 'DT', 'DISCR', 'DT', 'ANN', 'KNN']"
ecoli,0.735294118,0,0.485294118,0,"['DT', 'DT', 'ANN', 'DISCR', 'NB', 'DT', 'ANN', 'KNN', 'DISCR']"
haberman,0.770491803,0,0.803278689,0,"['NB', 'DT', 'KNN', 'NB']"
ionosphere,0.85915493,0,0.85915493,0,"['ANN', 'KNN', 'DISCR', 'DT', 'KNN', 'DT', 'KNN', 'DISCR']"
iris,1,0,0.6,0,"['DT', 'DT', 'KNN', 'DISCR']"
liver,0.760683761,0,0.769230769,0,"['DT', 'ANN', 'DT', 'ANN', 'KNN', 'DISCR', 'NB']"
pima_diabetec,0.733766234,0,0.694805195,0,"['KNN', 'DT', 'ANN', 'KNN']"
sonar,0.738095238,0,0.761904762,0,"['DT', 'KNN', 'DISCR', 'DT', 'ANN', 'ANN', 'KNN']"
wine,0.944444444,0,0.944444444,0,"['DT', 'ANN', 'KNN', 'DISCR', 'DT', 'DISCR', 'DT', 'ANN', 'KNN', 'DISCR', 'NB']"
breast-cancer-wisconsin,0.95620438,0,0.423357664,0,"['NB', 'ANN', 'KNN', 'DISCR', 'NB', 'DT', 'ANN', 'KNN', 'DISCR']"
ecoli,0.735294118,0,0.514705882,0,"['ANN', 'KNN', 'NB', 'DISCR', 'ANN', 'KNN', 'DISCR', 'KNN', 'DISCR']"
haberman,0.737704918,0,0.721311475,0,"['ANN', 'KNN', 'DISCR', 'DT', 'NB', 'DT', 'ANN', 'DISCR', 'NB']"
ionosphere,0.887323944,0,0.845070423,0,"['DT', 'KNN', 'DISCR', 'ANN', 'ANN', 'DISCR', 'NB']"
iris,1,0,1,0,"['DT', 'KNN']"
liver,0.743589744,0,0.735042735,0,"['ANN', 'DISCR', 'NB', 'ANN', 'NB']"
pima_diabetec,0.733766234,0,0.707792208,0,"['ANN', 'NB', 'DT', 'KNN', 'NB', 'KNN', 'DISCR', 'KNN', 'NB', 'DT', 'KNN']"
sonar,0.904761905,0,0.714285714,0,"['DT', 'DISCR', 'DT', 'NB']"
wine,0.972222222,0,1,0,"['DT', 'KNN', 'DISCR', 'NB', 'ANN', 'NB']"
